,1,0.5,0.2
635,4-5,4.5-4.9,4.4-4.5
636,4-5,4.0-4.4,4.2-4.3
637,4-5,4.5-4.9,4.6-4.7
638,4-5,4.0-4.4,4.2-4.3
639,4-5,4.5-4.9,4.4-4.5
640,4-5,4.5-4.9,4.4-4.5
641,4-5,4.5-4.9,4.6-4.7
642,3-4,3.5-3.9,3.6-3.7
643,4-5,4.0-4.4,4.2-4.3
644,3-4,3.5-3.9,3.6-3.7
645,4-5,4.5-5.0,4.8-5.0
646,4-5,4.0-4.4,4.2-4.3
647,4-5,4.0-4.4,4.2-4.3
648,4-5,4.5-5.0,4.8-5.0
649,3-4,3.5-3.9,3.6-3.7
650,4-5,4.5-4.9,4.6-4.7
651,4-5,4.5-5.0,4.8-5.0
652,2-3,2.5-2.9,2.6-2.7
653,3-4,3.5-3.9,3.8-3.9
654,3-4,3.0-3.4,3.2-3.3
655,4-5,4.0-4.4,4.0-4.1
656,4-5,4.0-4.4,4.2-4.3
657,4-5,4.5-4.9,4.4-4.5
658,4-5,4.5-4.9,4.4-4.5
659,4-5,4.0-4.4,4.2-4.3
660,3-4,3.0-3.4,3.0-3.1
661,3-4,3.5-3.9,3.8-3.9
662,3-4,3.5-3.9,3.6-3.7
663,3-4,3.5-3.9,3.6-3.7
664,3-4,3.5-3.9,3.6-3.7
665,4-5,4.0-4.4,4.4-4.5
666,4-5,4.0-4.4,4.0-4.1
667,4-5,4.5-4.9,4.4-4.5
668,4-5,4.5-4.9,4.4-4.5
669,4-5,4.0-4.4,4.0-4.1
670,4-5,4.5-4.9,4.6-4.7
671,4-5,4.0-4.4,4.0-4.1
672,4-5,4.0-4.4,4.4-4.5
673,4-5,4.5-5.0,4.8-5.0
674,3-4,3.5-3.9,3.6-3.7
675,4-5,4.0-4.4,4.4-4.5
676,4-5,4.0-4.4,4.4-4.5
677,4-5,4.5-4.9,4.6-4.7
678,4-5,4.0-4.4,4.2-4.3
679,4-5,4.0-4.4,4.2-4.3
680,2-3,2.0-2.4,2.2-2.3
681,3-4,3.5-3.9,3.8-3.9
682,4-5,4.0-4.4,4.0-4.1
683,4-5,4.5-4.9,4.6-4.7
684,4-5,4.5-4.9,4.4-4.5
685,4-5,4.0-4.4,4.2-4.3
686,4-5,4.0-4.4,4.2-4.3
687,4-5,4.0-4.4,4.2-4.3
688,4-5,4.5-4.9,4.4-4.5
689,4-5,4.0-4.4,4.2-4.3
690,4-5,4.5-4.9,4.4-4.5
691,4-5,4.5-4.9,4.4-4.5
692,2-3,2.0-2.4,2.2-2.3
693,4-5,4.0-4.4,4.0-4.1
694,4-5,4.5-4.9,4.4-4.5
695,4-5,4.5-4.9,4.6-4.7
696,4-5,4.5-5.0,4.8-5.0
697,4-5,4.5-5.0,4.8-5.0
698,3-4,3.5-3.9,3.8-3.9
699,4-5,4.0-4.4,4.0-4.1
700,4-5,4.0-4.4,4.2-4.3
701,3-4,3.5-3.9,3.6-3.7
702,4-5,4.5-4.9,4.6-4.7
703,4-5,4.0-4.4,4.2-4.3
704,4-5,4.0-4.4,4.0-4.1
705,4-5,4.0-4.4,4.4-4.5
706,4-5,4.0-4.4,4.2-4.3
707,4-5,4.5-4.9,4.6-4.7
708,4-5,4.0-4.4,4.0-4.1
709,4-5,4.0-4.4,4.0-4.1
710,4-5,4.0-4.4,4.2-4.3
711,4-5,4.0-4.4,4.4-4.5
712,3-4,3.5-3.9,3.6-3.7
713,4-5,4.0-4.4,4.0-4.1
714,4-5,4.5-4.9,4.4-4.5
715,4-5,4.0-4.4,4.2-4.3
716,4-5,4.0-4.4,4.0-4.1
717,4-5,4.5-4.9,4.6-4.7
718,4-5,4.5-4.9,4.4-4.5
719,3-4,3.5-3.9,3.8-3.9
720,4-5,4.0-4.4,4.0-4.1
721,4-5,4.0-4.4,4.0-4.1
722,4-5,4.5-4.9,4.6-4.7
723,4-5,4.5-4.9,4.4-4.5
724,4-5,4.0-4.4,4.0-4.1
725,4-5,4.5-4.9,4.4-4.5
726,4-5,4.0-4.4,4.2-4.3
727,4-5,4.5-4.9,4.4-4.5
728,3-4,3.5-3.9,3.4-3.5
729,4-5,4.0-4.4,4.2-4.3
730,3-4,3.5-3.9,3.6-3.7
731,4-5,4.0-4.4,4.4-4.5
732,4-5,4.5-5.0,4.8-5.0
733,4-5,4.0-4.4,4.2-4.3
734,3-4,3.5-3.9,3.6-3.7
735,4-5,4.5-4.9,4.4-4.5
736,4-5,4.0-4.4,4.2-4.3
737,4-5,4.5-4.9,4.6-4.7
738,4-5,4.0-4.4,4.2-4.3
739,4-5,4.5-4.9,4.4-4.5
740,4-5,4.0-4.4,4.2-4.3
741,4-5,4.0-4.4,4.2-4.3
742,4-5,4.5-4.9,4.4-4.5
743,4-5,4.5-4.9,4.4-4.5
744,4-5,4.5-4.9,4.4-4.5
745,4-5,4.5-4.9,4.4-4.5
746,4-5,4.5-4.9,4.4-4.5
747,3-4,3.5-3.9,3.6-3.7
748,3-4,3.5-3.9,3.6-3.7
749,4-5,4.5-4.9,4.4-4.5
750,4-5,4.0-4.4,4.4-4.5
751,4-5,4.5-4.9,4.4-4.5
752,4-5,4.0-4.4,4.2-4.3
753,3-4,3.5-3.9,3.8-3.9
754,4-5,4.0-4.4,4.2-4.3
755,4-5,4.0-4.4,4.4-4.5
756,4-5,4.0-4.4,4.0-4.1
757,4-5,4.5-4.9,4.4-4.5
758,3-4,3.5-3.9,3.6-3.7
759,4-5,4.0-4.4,4.4-4.5
760,4-5,4.0-4.4,4.2-4.3
761,4-5,4.5-4.9,4.6-4.7
762,4-5,4.0-4.4,4.4-4.5
763,4-5,4.0-4.4,4.2-4.3
764,4-5,4.0-4.4,4.4-4.5
765,4-5,4.5-4.9,4.6-4.7
766,4-5,4.0-4.4,4.2-4.3
767,4-5,4.0-4.4,4.0-4.1
768,4-5,4.0-4.4,4.4-4.5
769,4-5,4.5-4.9,4.4-4.5
770,4-5,4.0-4.4,4.0-4.1
771,4-5,4.0-4.4,4.0-4.1
772,4-5,4.0-4.4,4.4-4.5
773,4-5,4.0-4.4,4.0-4.1
774,4-5,4.5-4.9,4.4-4.5
775,4-5,4.0-4.4,4.2-4.3
776,4-5,4.5-4.9,4.4-4.5
777,4-5,4.5-4.9,4.6-4.7
778,4-5,4.5-4.9,4.4-4.5
779,4-5,4.5-4.9,4.4-4.5
780,4-5,4.5-4.9,4.4-4.5
781,3-4,3.5-3.9,3.6-3.7
782,4-5,4.0-4.4,4.2-4.3
783,3-4,3.5-3.9,3.6-3.7
784,3-4,3.0-3.4,3.2-3.3
785,4-5,4.0-4.4,4.0-4.1
786,4-5,4.0-4.4,4.4-4.5
787,3-4,3.5-3.9,3.8-3.9
788,4-5,4.5-4.9,4.6-4.7
789,4-5,4.5-4.9,4.4-4.5
790,4-5,4.5-4.9,4.4-4.5
791,4-5,4.0-4.4,4.4-4.5
792,4-5,4.5-4.9,4.4-4.5
793,4-5,4.5-4.9,4.4-4.5
794,4-5,4.0-4.4,4.2-4.3
795,2-3,2.0-2.4,2.2-2.3
796,2-3,2.0-2.4,2.2-2.3
797,4-5,4.0-4.4,4.2-4.3
798,4-5,4.0-4.4,4.0-4.1
799,4-5,4.0-4.4,4.2-4.3
800,4-5,4.5-5.0,4.8-5.0
801,4-5,4.5-4.9,4.4-4.5
802,4-5,4.0-4.4,4.2-4.3
803,4-5,4.0-4.4,4.2-4.3
804,4-5,4.0-4.4,4.4-4.5
805,4-5,4.0-4.4,4.2-4.3
806,4-5,4.0-4.4,4.4-4.5
807,4-5,4.5-4.9,4.6-4.7
808,3-4,3.5-3.9,3.8-3.9
809,4-5,4.0-4.4,4.2-4.3
810,4-5,4.0-4.4,4.0-4.1
811,4-5,4.5-4.9,4.4-4.5
812,4-5,4.0-4.4,4.2-4.3
813,4-5,4.0-4.4,4.2-4.3
814,3-4,3.0-3.4,3.0-3.1
815,2-3,2.5-2.9,2.6-2.7
816,4-5,4.5-5.0,4.8-5.0
817,4-5,4.5-5.0,4.8-5.0
818,4-5,4.0-4.4,4.4-4.5
819,4-5,4.5-4.9,4.4-4.5
820,4-5,4.0-4.4,4.0-4.1
821,4-5,4.5-4.9,4.6-4.7
822,4-5,4.0-4.4,4.2-4.3
823,4-5,4.5-4.9,4.4-4.5
824,4-5,4.5-4.9,4.6-4.7
825,4-5,4.0-4.4,4.2-4.3
826,4-5,4.0-4.4,4.0-4.1
827,4-5,4.0-4.4,4.0-4.1
828,4-5,4.0-4.4,4.0-4.1
829,4-5,4.0-4.4,4.2-4.3
830,4-5,4.0-4.4,4.2-4.3
831,4-5,4.0-4.4,4.0-4.1
832,4-5,4.0-4.4,4.2-4.3
833,4-5,4.0-4.4,4.2-4.3
834,4-5,4.0-4.4,4.4-4.5
835,4-5,4.0-4.4,4.4-4.5
836,4-5,4.5-4.9,4.4-4.5
837,3-4,3.5-3.9,3.6-3.7
838,4-5,4.5-4.9,4.4-4.5
839,4-5,4.0-4.4,4.0-4.1
840,3-4,3.5-3.9,3.6-3.7
841,4-5,4.5-4.9,4.6-4.7
842,4-5,4.0-4.4,4.2-4.3
843,4-5,4.0-4.4,4.0-4.1
844,4-5,4.0-4.4,4.0-4.1
845,3-4,3.0-3.4,3.0-3.1
846,4-5,4.5-4.9,4.4-4.5
847,3-4,3.5-3.9,3.6-3.7
848,4-5,4.0-4.4,4.4-4.5
849,4-5,4.0-4.4,4.0-4.1
850,4-5,4.0-4.4,4.4-4.5
851,3-4,3.0-3.4,3.0-3.1
852,4-5,4.5-4.9,4.4-4.5
853,4-5,4.5-4.9,4.4-4.5
854,4-5,4.0-4.4,4.4-4.5
855,3-4,3.5-3.9,3.6-3.7
856,4-5,4.5-4.9,4.4-4.5
857,4-5,4.0-4.4,4.2-4.3
858,4-5,4.0-4.4,4.2-4.3
859,3-4,3.5-3.9,3.6-3.7
860,4-5,4.0-4.4,4.4-4.5
861,4-5,4.5-4.9,4.4-4.5
862,4-5,4.0-4.4,4.0-4.1
863,4-5,4.0-4.4,4.2-4.3
864,4-5,4.0-4.4,4.0-4.1
865,4-5,4.5-4.9,4.4-4.5
866,4-5,4.0-4.4,4.4-4.5
867,4-5,4.0-4.4,4.0-4.1
868,4-5,4.0-4.4,4.0-4.1
869,4-5,4.0-4.4,4.4-4.5
870,4-5,4.0-4.4,4.4-4.5
871,3-4,3.5-3.9,3.6-3.7
872,4-5,4.5-4.9,4.4-4.5
873,4-5,4.0-4.4,4.4-4.5
874,4-5,4.0-4.4,4.0-4.1
875,4-5,4.5-4.9,4.6-4.7
876,4-5,4.0-4.4,4.2-4.3
877,4-5,4.0-4.4,4.0-4.1
878,4-5,4.0-4.4,4.0-4.1
879,4-5,4.0-4.4,4.2-4.3
880,3-4,3.5-3.9,3.6-3.7
881,3-4,3.0-3.4,3.2-3.3
882,4-5,4.5-4.9,4.4-4.5
883,2-3,2.5-2.9,2.6-2.7
884,3-4,3.5-3.9,3.6-3.7
885,4-5,4.5-4.9,4.8-4.9
886,4-5,4.0-4.4,4.2-4.3
887,3-4,3.5-3.9,3.6-3.7
888,4-5,4.0-4.4,4.0-4.1
889,4-5,4.5-4.9,4.4-4.5
890,4-5,4.5-4.9,4.6-4.7
891,4-5,4.0-4.4,4.0-4.1
892,4-5,4.0-4.4,4.4-4.5
893,4-5,4.5-4.9,4.4-4.5
894,4-5,4.0-4.4,4.2-4.3
895,4-5,4.0-4.4,4.2-4.3
896,4-5,4.0-4.4,4.2-4.3
897,3-4,3.5-3.9,3.6-3.7
898,4-5,4.0-4.4,4.2-4.3
899,4-5,4.5-4.9,4.4-4.5
900,4-5,4.5-4.9,4.4-4.5
901,4-5,4.0-4.4,4.2-4.3
902,4-5,4.5-4.9,4.6-4.7
903,4-5,4.5-4.9,4.4-4.5
904,3-4,3.0-3.4,3.0-3.1
905,4-5,4.0-4.4,4.2-4.3
906,4-5,4.0-4.4,4.2-4.3
907,4-5,4.5-4.9,4.6-4.7
908,4-5,4.0-4.4,4.0-4.1
909,4-5,4.5-4.9,4.4-4.5
910,4-5,4.5-4.9,4.4-4.5
911,3-4,3.5-3.9,3.6-3.7
912,4-5,4.0-4.4,4.4-4.5
913,4-5,4.5-4.9,4.4-4.5
914,3-4,3.5-3.9,3.6-3.7
915,4-5,4.5-4.9,4.4-4.5
916,4-5,4.0-4.4,4.0-4.1
917,4-5,4.0-4.4,4.2-4.3
918,3-4,3.5-3.9,3.6-3.7
919,4-5,4.0-4.4,4.4-4.5
920,3-4,3.0-3.4,3.2-3.3
921,4-5,4.0-4.4,4.2-4.3
922,4-5,4.0-4.4,4.2-4.3
923,4-5,4.0-4.4,4.0-4.1
924,4-5,4.0-4.4,4.0-4.1
925,4-5,4.5-5.0,4.8-5.0
926,4-5,4.0-4.4,4.2-4.3
927,3-4,3.0-3.4,3.2-3.3
928,4-5,4.5-4.9,4.6-4.7
929,3-4,3.0-3.4,3.2-3.3
930,4-5,4.0-4.4,4.0-4.1
931,3-4,3.0-3.4,3.0-3.1
932,4-5,4.5-4.9,4.4-4.5
933,4-5,4.0-4.4,4.2-4.3
934,4-5,4.0-4.4,4.2-4.3
935,4-5,4.5-4.9,4.4-4.5
936,4-5,4.5-4.9,4.6-4.7
937,4-5,4.0-4.4,4.2-4.3
938,4-5,4.5-4.9,4.4-4.5
939,4-5,4.5-4.9,4.6-4.7
940,4-5,4.5-4.9,4.6-4.7
941,4-5,4.5-4.9,4.4-4.5
942,4-5,4.5-4.9,4.4-4.5
943,4-5,4.5-4.9,4.6-4.7
944,3-4,3.0-3.4,3.0-3.1
945,4-5,4.5-4.9,4.4-4.5
946,4-5,4.5-4.9,4.4-4.5
947,4-5,4.0-4.4,4.0-4.1
948,4-5,4.0-4.4,4.0-4.1
949,4-5,4.0-4.4,4.4-4.5
950,4-5,4.0-4.4,4.4-4.5
951,4-5,4.5-4.9,4.6-4.7
952,4-5,4.5-4.9,4.4-4.5
953,4-5,4.0-4.4,4.4-4.5
954,4-5,4.5-4.9,4.4-4.5
955,3-4,3.5-3.9,3.6-3.7
956,4-5,4.0-4.4,4.2-4.3
957,4-5,4.5-4.9,4.4-4.5
958,4-5,4.0-4.4,4.2-4.3
959,4-5,4.0-4.4,4.2-4.3
960,4-5,4.5-5.0,4.8-5.0
961,4-5,4.0-4.4,4.2-4.3
962,4-5,4.5-4.9,4.4-4.5
963,4-5,4.0-4.4,4.2-4.3
964,4-5,4.0-4.4,4.4-4.5
965,4-5,4.0-4.4,4.2-4.3
966,4-5,4.0-4.4,4.0-4.1
967,4-5,4.5-4.9,4.4-4.5
968,4-5,4.5-4.9,4.4-4.5
969,4-5,4.5-5.0,4.8-5.0
970,4-5,4.0-4.4,4.2-4.3
971,4-5,4.0-4.4,4.0-4.1
972,3-4,3.5-3.9,3.6-3.7
973,4-5,4.5-5.0,4.8-5.0
974,4-5,4.5-4.9,4.4-4.5
975,2-3,2.5-2.9,2.6-2.7
976,4-5,4.5-4.9,4.6-4.7
977,4-5,4.0-4.4,4.2-4.3
978,3-4,3.5-3.9,3.6-3.7
979,3-4,3.5-3.9,3.4-3.5
980,4-5,4.5-4.9,4.6-4.7
981,4-5,4.0-4.4,4.0-4.1
982,4-5,4.0-4.4,4.2-4.3
983,4-5,4.0-4.4,4.2-4.3
984,4-5,4.0-4.4,4.2-4.3
985,3-4,3.5-3.9,3.6-3.7
986,4-5,4.0-4.4,4.2-4.3
987,4-5,4.5-4.9,4.6-4.7
988,4-5,4.0-4.4,4.0-4.1
989,4-5,4.5-4.9,4.6-4.7
990,3-4,3.5-3.9,3.6-3.7
991,3-4,3.0-3.4,3.2-3.3
992,3-4,3.5-3.9,3.6-3.7
993,4-5,4.5-4.9,4.6-4.7
994,4-5,4.0-4.4,4.2-4.3
995,4-5,4.0-4.4,4.2-4.3
996,4-5,4.5-4.9,4.6-4.7
997,3-4,3.5-3.9,3.6-3.7
998,4-5,4.0-4.4,4.4-4.5
999,4-5,4.0-4.4,4.4-4.5
1000,3-4,3.0-3.4,3.0-3.1
1001,4-5,4.5-4.9,4.4-4.5
1002,4-5,4.5-4.9,4.4-4.5
1003,4-5,4.5-4.9,4.6-4.7
1004,2-3,2.5-2.9,2.4-2.5
1005,1-2,1.0-1.4,1.0-1.1
1006,4-5,4.5-4.9,4.4-4.5
1007,4-5,4.0-4.4,4.0-4.1
1008,3-4,3.0-3.4,3.0-3.1
1009,4-5,4.0-4.4,4.0-4.1
1010,3-4,3.5-3.9,3.6-3.7
1011,4-5,4.0-4.4,4.2-4.3
1012,4-5,4.0-4.4,4.0-4.1
1013,4-5,4.0-4.4,4.2-4.3
1014,4-5,4.0-4.4,4.0-4.1
1015,4-5,4.5-4.9,4.4-4.5
1016,4-5,4.5-4.9,4.4-4.5
1017,4-5,4.0-4.4,4.2-4.3
1018,4-5,4.5-4.9,4.4-4.5
1019,4-5,4.0-4.4,4.2-4.3
1020,4-5,4.0-4.4,4.0-4.1
1021,4-5,4.0-4.4,4.4-4.5
1022,3-4,3.0-3.4,3.2-3.3
1023,4-5,4.0-4.4,4.2-4.3
1024,4-5,4.5-5.0,4.8-5.0
1025,4-5,4.0-4.4,4.0-4.1
1026,3-4,3.0-3.4,3.2-3.3
1027,4-5,4.0-4.4,4.0-4.1
1028,4-5,4.5-4.9,4.4-4.5
1029,3-4,3.5-3.9,3.4-3.5
1030,4-5,4.5-4.9,4.6-4.7
1031,4-5,4.5-4.9,4.4-4.5
1032,3-4,3.5-3.9,3.4-3.5
1033,4-5,4.0-4.4,4.4-4.5
1034,4-5,4.0-4.4,4.0-4.1
1035,4-5,4.0-4.4,4.2-4.3
1036,1-2,1.5-1.9,1.8-1.9
1037,4-5,4.5-4.9,4.4-4.5
1038,4-5,4.0-4.4,4.2-4.3
1039,4-5,4.0-4.4,4.2-4.3
1040,4-5,4.5-5.0,4.8-5.0
1041,4-5,4.5-4.9,4.6-4.7
1042,3-4,3.0-3.4,3.2-3.3
1043,2-3,2.5-2.9,2.6-2.7
1044,4-5,4.0-4.4,4.2-4.3
1045,3-4,3.0-3.4,3.0-3.1
1046,3-4,3.5-3.9,3.8-3.9
1047,4-5,4.5-4.9,4.4-4.5
1048,3-4,3.5-3.9,3.6-3.7
1049,4-5,4.0-4.4,4.2-4.3
1050,4-5,4.5-4.9,4.6-4.7
1051,4-5,4.0-4.4,4.4-4.5
1052,4-5,4.5-4.9,4.6-4.7
1053,4-5,4.0-4.4,4.2-4.3
1054,4-5,4.0-4.4,4.2-4.3
1055,4-5,4.0-4.4,4.4-4.5
1056,4-5,4.5-4.9,4.4-4.5
1057,4-5,4.0-4.4,4.2-4.3
1058,4-5,4.0-4.4,4.0-4.1
1059,4-5,4.0-4.4,4.0-4.1
1060,4-5,4.0-4.4,4.4-4.5
1061,3-4,3.5-3.9,3.6-3.7
1062,4-5,4.5-4.9,4.4-4.5
1063,4-5,4.5-4.9,4.4-4.5
1064,4-5,4.0-4.4,4.4-4.5
1065,3-4,3.5-3.9,3.8-3.9
1066,4-5,4.5-4.9,4.4-4.5
1067,4-5,4.5-4.9,4.4-4.5
1068,4-5,4.0-4.4,4.2-4.3
1069,4-5,4.0-4.4,4.2-4.3
1070,3-4,3.5-3.9,3.6-3.7
1071,4-5,4.0-4.4,4.4-4.5
1072,4-5,4.5-4.9,4.4-4.5
1073,4-5,4.5-4.9,4.4-4.5
1074,4-5,4.0-4.4,4.2-4.3
1075,4-5,4.0-4.4,4.2-4.3
1076,4-5,4.5-4.9,4.4-4.5
1077,4-5,4.5-4.9,4.6-4.7
1078,4-5,4.0-4.4,4.0-4.1
1079,4-5,4.0-4.4,4.0-4.1
1080,4-5,4.0-4.4,4.4-4.5
1081,4-5,4.0-4.4,4.2-4.3
1082,2-3,2.0-2.4,2.0-2.1
1083,3-4,3.5-3.9,3.6-3.7
1084,4-5,4.5-4.9,4.4-4.5
1085,4-5,4.0-4.4,4.4-4.5
1086,4-5,4.0-4.4,4.2-4.3
1087,4-5,4.0-4.4,4.2-4.3
1088,4-5,4.0-4.4,4.0-4.1
1089,4-5,4.0-4.4,4.2-4.3
1090,4-5,4.0-4.4,4.2-4.3
1091,4-5,4.5-4.9,4.6-4.7
1092,4-5,4.5-4.9,4.4-4.5
1093,3-4,3.5-3.9,3.8-3.9
1094,4-5,4.5-4.9,4.6-4.7
1095,4-5,4.0-4.4,4.0-4.1
1096,4-5,4.0-4.4,4.0-4.1
1097,4-5,4.5-4.9,4.4-4.5
1098,4-5,4.0-4.4,4.2-4.3
1099,4-5,4.0-4.4,4.0-4.1
1100,4-5,4.0-4.4,4.0-4.1
1101,4-5,4.5-4.9,4.4-4.5
1102,4-5,4.0-4.4,4.0-4.1
1103,4-5,4.5-4.9,4.4-4.5
1104,4-5,4.0-4.4,4.0-4.1
1105,4-5,4.0-4.4,4.4-4.5
1106,4-5,4.0-4.4,4.2-4.3
1107,4-5,4.5-4.9,4.4-4.5
1108,4-5,4.5-4.9,4.6-4.7
1109,4-5,4.0-4.4,4.2-4.3
1110,3-4,3.0-3.4,3.0-3.1
1111,3-4,3.0-3.4,3.2-3.3
1112,4-5,4.0-4.4,4.0-4.1
1113,4-5,4.0-4.4,4.0-4.1
1114,4-5,4.0-4.4,4.2-4.3
1115,4-5,4.0-4.4,4.2-4.3
1116,4-5,4.0-4.4,4.4-4.5
1117,4-5,4.0-4.4,4.2-4.3
1118,4-5,4.0-4.4,4.2-4.3
1119,3-4,3.0-3.4,3.0-3.1
1120,4-5,4.5-4.9,4.4-4.5
1121,4-5,4.5-4.9,4.6-4.7
1122,4-5,4.5-4.9,4.8-4.9
1123,3-4,3.5-3.9,3.8-3.9
1124,4-5,4.5-4.9,4.4-4.5
1125,3-4,3.5-3.9,3.6-3.7
1126,4-5,4.0-4.4,4.2-4.3
1127,4-5,4.0-4.4,4.2-4.3
1128,4-5,4.0-4.4,4.0-4.1
1129,4-5,4.5-5.0,4.8-5.0
1130,4-5,4.5-4.9,4.4-4.5
1131,4-5,4.5-4.9,4.6-4.7
1132,4-5,4.0-4.4,4.0-4.1
1133,4-5,4.5-4.9,4.4-4.5
1134,4-5,4.0-4.4,4.0-4.1
1135,4-5,4.5-4.9,4.4-4.5
1136,4-5,4.5-5.0,4.8-5.0
1137,4-5,4.5-4.9,4.4-4.5
1138,4-5,4.5-4.9,4.6-4.7
1139,4-5,4.5-4.9,4.6-4.7
1140,3-4,3.5-3.9,3.8-3.9
1141,4-5,4.5-4.9,4.6-4.7
1142,3-4,3.0-3.4,3.0-3.1
1143,4-5,4.0-4.4,4.4-4.5
1144,4-5,4.0-4.4,4.2-4.3
1145,3-4,3.5-3.9,3.6-3.7
1146,4-5,4.0-4.4,4.4-4.5
1147,4-5,4.0-4.4,4.4-4.5
1148,4-5,4.5-4.9,4.4-4.5
1149,4-5,4.0-4.4,4.2-4.3
1150,4-5,4.5-4.9,4.4-4.5
1151,4-5,4.5-4.9,4.4-4.5
1152,4-5,4.5-4.9,4.4-4.5
1153,4-5,4.5-4.9,4.6-4.7
1154,4-5,4.5-4.9,4.4-4.5
1155,4-5,4.5-4.9,4.4-4.5
1156,4-5,4.5-4.9,4.4-4.5
1157,4-5,4.0-4.4,4.2-4.3
1158,4-5,4.0-4.4,4.4-4.5
1159,4-5,4.0-4.4,4.2-4.3
1160,4-5,4.0-4.4,4.0-4.1
1161,4-5,4.0-4.4,4.2-4.3
1162,4-5,4.0-4.4,4.2-4.3
1163,4-5,4.0-4.4,4.2-4.3
1164,3-4,3.5-3.9,3.6-3.7
1165,4-5,4.5-4.9,4.4-4.5
1166,4-5,4.0-4.4,4.2-4.3
1167,4-5,4.0-4.4,4.2-4.3
1168,4-5,4.5-4.9,4.6-4.7
1169,4-5,4.5-4.9,4.4-4.5
1170,4-5,4.5-4.9,4.4-4.5
1171,4-5,4.0-4.4,4.2-4.3
1172,4-5,4.5-4.9,4.4-4.5
1173,3-4,3.5-3.9,3.4-3.5
1174,4-5,4.0-4.4,4.2-4.3
1175,4-5,4.0-4.4,4.2-4.3
1176,4-5,4.0-4.4,4.2-4.3
1177,4-5,4.0-4.4,4.2-4.3
1178,4-5,4.5-4.9,4.4-4.5
1179,4-5,4.0-4.4,4.2-4.3
1180,4-5,4.0-4.4,4.2-4.3
1181,4-5,4.5-4.9,4.6-4.7
1182,4-5,4.0-4.4,4.0-4.1
1183,4-5,4.0-4.4,4.2-4.3
1184,4-5,4.0-4.4,4.0-4.1
1185,4-5,4.5-4.9,4.4-4.5
1186,4-5,4.0-4.4,4.0-4.1
1187,4-5,4.0-4.4,4.2-4.3
1188,4-5,4.0-4.4,4.2-4.3
1189,4-5,4.5-4.9,4.4-4.5
1190,4-5,4.5-4.9,4.4-4.5
1191,3-4,3.0-3.4,3.0-3.1
1192,4-5,4.0-4.4,4.2-4.3
1193,3-4,3.5-3.9,3.6-3.7
1194,4-5,4.5-4.9,4.4-4.5
1195,4-5,4.0-4.4,4.0-4.1
1196,4-5,4.0-4.4,4.0-4.1
1197,4-5,4.0-4.4,4.2-4.3
1198,3-4,3.5-3.9,3.6-3.7
1199,4-5,4.5-5.0,4.8-5.0
1200,4-5,4.0-4.4,4.2-4.3
1201,4-5,4.0-4.4,4.2-4.3
1202,3-4,3.5-3.9,3.8-3.9
1203,3-4,3.0-3.4,3.2-3.3
1204,4-5,4.5-4.9,4.6-4.7
1205,4-5,4.5-4.9,4.4-4.5
1206,4-5,4.0-4.4,4.0-4.1
1207,4-5,4.5-4.9,4.4-4.5
1208,4-5,4.5-4.9,4.4-4.5
1209,4-5,4.0-4.4,4.0-4.1
1210,4-5,4.5-4.9,4.4-4.5
1211,3-4,3.5-3.9,3.4-3.5
1212,4-5,4.0-4.4,4.0-4.1
1213,4-5,4.0-4.4,4.4-4.5
1214,4-5,4.5-4.9,4.4-4.5
1215,4-5,4.5-4.9,4.4-4.5
1216,4-5,4.5-4.9,4.6-4.7
1217,4-5,4.0-4.4,4.2-4.3
1218,4-5,4.0-4.4,4.4-4.5
1219,4-5,4.5-4.9,4.8-4.9
1220,4-5,4.5-4.9,4.4-4.5
1221,4-5,4.5-4.9,4.6-4.7
1222,3-4,3.0-3.4,3.2-3.3
1223,4-5,4.5-4.9,4.6-4.7
1224,4-5,4.0-4.4,4.2-4.3
1225,4-5,4.0-4.4,4.0-4.1
1226,4-5,4.0-4.4,4.0-4.1
1227,4-5,4.5-4.9,4.4-4.5
1228,3-4,3.5-3.9,3.8-3.9
1229,4-5,4.0-4.4,4.0-4.1
1230,3-4,3.5-3.9,3.6-3.7
1231,4-5,4.0-4.4,4.2-4.3
1232,4-5,4.0-4.4,4.2-4.3
1233,4-5,4.0-4.4,4.4-4.5
1234,3-4,3.0-3.4,3.0-3.1
1235,4-5,4.5-4.9,4.6-4.7
1236,4-5,4.0-4.4,4.4-4.5
1237,4-5,4.5-5.0,4.8-5.0
1238,2-3,2.5-2.9,2.6-2.7
1239,4-5,4.5-4.9,4.4-4.5
1240,4-5,4.0-4.4,4.4-4.5
1241,4-5,4.5-4.9,4.6-4.7
1242,4-5,4.0-4.4,4.2-4.3
1243,3-4,3.5-3.9,3.6-3.7
1244,4-5,4.0-4.4,4.4-4.5
1245,4-5,4.0-4.4,4.0-4.1
1246,4-5,4.0-4.4,4.4-4.5
1247,4-5,4.0-4.4,4.4-4.5
1248,4-5,4.0-4.4,4.4-4.5
1249,4-5,4.0-4.4,4.2-4.3
1250,3-4,3.0-3.4,3.2-3.3
1251,4-5,4.5-4.9,4.4-4.5
1252,4-5,4.5-4.9,4.4-4.5
1253,3-4,3.0-3.4,3.2-3.3
1254,3-4,3.5-3.9,3.8-3.9
1255,4-5,4.5-4.9,4.4-4.5
1256,4-5,4.5-4.9,4.4-4.5
1257,4-5,4.0-4.4,4.2-4.3
1258,4-5,4.5-4.9,4.8-4.9
